R,regime,strategy,B,B_over_R,dv_hohmann_bar,dv_bielliptic_bar,saving_bar,dv_saving_m_s,t_hohmann_days,t_bielliptic_days,time_ratio,extra_time_days,rb_km,rb_altitude_km,rb_over_lunar_distance,model_validity_flag
12.0,large_B_bielliptic,B/R=100,1200.0,100.0,0.5341798721538682,0.5340559737639212,0.00012389838994697477,0.957209304037898,0.5208590270797074,931.3856370706903,1788.172209076756,930.8647780436105,8013763.5600000005,8007385.4237,20.847459833506765,two_body_invalid
12.0,large_B_bielliptic,2*B_crit,1631.6405009506184,135.97004174588486,0.5341798721538682,0.5339855611794304,0.00019431097443778356,1.5012000776452223,0.5208590270797074,1473.546075756218,2829.068901844568,1473.0252167291383,10896317.657948509,10889939.52164851,28.346299838575725,two_body_invalid
12.5,large_B_bielliptic,B/R=1.25,15.625,1.25,0.534804136563799,0.5370894853559018,-0.002285348792102848,-17.656057739804645,0.5511956984484152,2.4107282186989742,4.3736339479517685,1.8595325202505593,104345.8796875,97967.7433875,0.27145129991545264,lunar_third_body_caution
12.5,large_B_bielliptic,B/R=1.5,18.75,1.5,0.534804136563799,0.5380102695956392,-0.0032061330318402526,-24.769816374322126,0.5511956984484152,2.9165838351966524,5.291376263288468,2.365388136748237,125215.05562500001,118836.91932500001,0.3257415598985432,lunar_third_body_caution
12.5,large_B_bielliptic,B/R=2,25.0,2.0,0.534804136563799,0.5383357070225665,-0.003531570458767508,-27.28406803707772,0.5511956984484152,4.025043737622336,7.302385974623182,3.473848039173921,166953.4075,160575.2712,0.43432207986472426,lunar_third_body_caution
12.5,large_B_bielliptic,B/R=3,37.5,3.0,0.534804136563799,0.5375444500588491,-0.0027403134950501062,-21.171006133051197,0.5511956984484152,6.583384991133478,11.943825051003365,6.0321892926850635,250430.11125000002,244051.97495,0.6514831197970864,lunar_third_body_caution
12.5,large_B_bielliptic,B/R=5,62.5,5.0,0.534804136563799,0.5359206253646457,-0.0011164888008466933,-8.625725229213645,0.5511956984484152,12.840640519159985,23.295973744544206,12.28944482071157,417383.51875,411005.38245,1.0858051996618105,two_body_invalid
12.5,large_B_bielliptic,B_crit,90.75094420913885,7.260075536731108,0.534804136563799,0.534804136563799,0.0,0.0,0.5511956984484152,21.424690772746583,38.86948108095886,20.873495074298166,606047.1747823249,599669.0384823249,1.5766055535440295,two_body_invalid
12.5,large_B_bielliptic,1.1*B_crit,99.82603863005275,7.98608309040422,0.534804136563799,0.5345490268933037,0.000255109670495246,1.9709162504258546,0.5511956984484152,24.479267015532322,44.4112083683528,23.92807131708391,666651.8922605575,660273.7559605575,1.7342661088984326,two_body_invalid
12.5,large_B_bielliptic,B/R=10,125.0,10.0,0.534804136563799,0.534002527944589,0.0008016086192099703,6.193036316558619,0.5511956984484152,33.63343547847846,61.01904563688485,33.082239780030044,834767.0375,828388.9012,2.171610399323621,two_body_invalid
12.5,large_B_bielliptic,2*B_crit,181.5018884182777,14.520151073462216,0.534804136563799,0.5332652970916757,0.001538839472123299,11.888705420365758,0.5511956984484152,57.42435121582408,104.1814211857429,56.87315551737567,1212094.3495646499,1205716.21326465,3.153211107088059,two_body_invalid
12.5,large_B_bielliptic,B/R=20,250.0,20.0,0.534804136563799,0.5327833361384803,0.002020800425318714,15.612220381125661,0.5511956984484152,91.4497491693622,165.9115799103442,90.8985534709138,1669534.075,1663155.9387,4.343220798647242,two_body_invalid
12.5,large_B_bielliptic,B/R=50,625.0,50.0,0.534804136563799,0.5319600987446409,0.002844037819158096,21.972355433342365,0.5511956984484152,352.9120845151681,640.2663981388021,352.3608888167197,4173835.1875,4167457.0512,10.858051996618107,two_body_invalid
12.5,large_B_bielliptic,B/R=100,1250.0,100.0,0.534804136563799,0.5316696099305949,0.0031345266332041266,24.216602478383038,0.5511956984484152,990.1748987546538,1796.4126018071988,989.6237030562053,8347670.375,8341292.2387,21.716103993236214,two_body_invalid
13.0,large_B_bielliptic,B/R=1.25,16.25,1.25,0.5352919021789165,0.5370263233635022,-0.001734421184585666,-13.399722915821224,0.5820994922178572,2.5540380643532368,4.387631493410339,1.9719385721353795,108519.714875,102141.578575,0.2823093519120708,lunar_third_body_caution
13.0,large_B_bielliptic,B/R=1.5,19.5,1.5,0.5352919021789165,0.5375761184552391,-0.0022842162763225815,-17.647308193968698,0.5820994922178572,3.090297055651289,5.308881208394374,2.508197563433432,130223.65785,123845.52155,0.3387712222944849,lunar_third_body_caution
13.0,large_B_bielliptic,B/R=2,26.0,2.0,0.5352919021789165,0.5374356450117064,-0.002143742832789841,-16.562043993382012,0.5820994922178572,4.26547975998376,7.327750353692728,3.683380267765903,173631.5438,167253.4075,0.4516949630593132,lunar_third_body_caution
13.0,large_B_bielliptic,B/R=3,39.0,3.0,0.5352919021789165,0.5361789762201462,-0.000887074041229674,-6.853321709821579,0.5820994922178572,6.97809428819898,11.98780342791873,6.395994795981123,260447.3157,254069.1794,0.6775424445889698,lunar_third_body_caution
13.0,large_B_bielliptic,B_crit,48.90484332838889,3.761911025260684,0.5352919021789165,0.5352919021789165,0.0,0.0,0.5820994922178572,9.330019793895683,16.02822183944428,8.747920301677828,326593.2094771267,320215.0731771267,0.849618130793774,lunar_third_body_caution
13.0,large_B_bielliptic,1.1*B_crit,53.79532766122779,4.138102127786753,0.5352919021789165,0.5349147850829952,0.00037711709592136433,2.9135164152025883,0.5820994922178572,10.573647179298957,18.164673428956803,9.991547687081102,359252.5304248394,352874.3941248394,0.9345799438731515,lunar_third_body_caution
13.0,large_B_bielliptic,B/R=5,65.0,5.0,0.5352919021789165,0.5341860809911427,0.0011058211877738033,8.543309804044547,0.5820994922178572,13.613315286621132,23.386578185720523,13.031215794403275,434078.8595,427700.7232,1.1292374076482832,two_body_invalid
13.0,large_B_bielliptic,2*B_crit,97.80968665677779,7.523822050521368,0.5352919021789165,0.5327888987255018,0.0025030034534146983,19.337605554623586,0.5820994922178572,23.876507440209547,41.01791490873437,23.29440794799169,653186.4189542534,646808.2826542534,1.699236261587548,two_body_invalid
13.0,large_B_bielliptic,B/R=10,130.0,10.0,0.5352919021789165,0.5319950725204255,0.003296829658490985,25.47051680240749,0.5820994922178572,35.66385734433427,61.267631772794395,35.08175785211641,868157.719,861779.5827,2.2584748152965664,two_body_invalid
13.0,large_B_bielliptic,B/R=20,260.0,20.0,0.5352919021789165,0.530641266238087,0.004650635940829484,35.92970008859845,0.5820994922178572,96.98047162504572,166.60463189126045,96.39837213282787,1736315.438,1729937.3017000002,4.516949630593133,two_body_invalid
13.0,large_B_bielliptic,B/R=50,650.0,50.0,0.5352919021789165,0.5297379948742028,0.005553907304713723,42.908158436209185,0.5820994922178572,374.28015401948517,642.9831309308319,373.69805452726735,4340788.595,4334410.458699999,11.29237407648283,two_body_invalid
13.0,large_B_bielliptic,B/R=100,1300.0,100.0,0.5352919021789165,0.529420964236465,0.005870937942451526,45.357461257961496,0.5820994922178572,1050.151546092413,1804.0756951895466,1049.5694466001949,8681577.19,8675199.0537,22.58474815296566,two_body_invalid
14.0,large_B_bielliptic,B/R=1.25,17.5,1.25,0.5359313367455175,0.5366941725462534,-0.0007628358007358838,-5.893486801806636,0.6455680902164185,2.8488107247942396,4.412874130502969,2.2032426345778213,116867.38525,110489.24895000001,0.304025455905307,lunar_third_body_caution
14.0,large_B_bielliptic,B/R=1.5,21.0,1.5,0.5359313367455175,0.53659218448138,-0.000660847735862502,-5.105551424765803,0.6455680902164185,3.4476222233650238,5.340447081591738,2.8020541331486055,140240.8623,133862.726,0.36483054708636836,lunar_third_body_caution
14.0,large_B_bielliptic,B_crit,26.10461128235042,1.8646150915964586,0.5359313367455175,0.5359313367455175,0.0,0.0,0.6455680902164185,4.390343719450671,6.800744624751921,3.744775629234253,174330.1522020539,167952.01590205388,0.45351236264842326,lunar_third_body_caution
14.0,large_B_bielliptic,B/R=2,28.0,2.0,0.5359313367455175,0.5356363088346072,0.0002950279109102949,2.2793150209220596,0.6455680902164185,4.760087958861736,7.373487058918879,4.114519868645318,186987.8164,180609.6801,0.4864407294484912,lunar_third_body_caution
14.0,large_B_bielliptic,1.1*B_crit,28.715072410585464,2.0510766007561045,0.5359313367455175,0.5355231566882245,0.0004081800572930394,3.153501419435997,0.6455680902164185,4.902241765720003,7.593686614957361,4.256673675503585,191763.16742225928,185385.03112225927,0.4988635989132656,lunar_third_body_caution
