R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
11.9391227285219,139499.03957433434,11684.195124410515,931593599.9964987,931587221.8601987,2423.500520282255,2239029.343612574,two_body_invalid
11.93916001097155,126317.0687998578,10580.063311303149,843562602.4619279,843556224.3256279,2194.4916817427884,1929289.024062215,two_body_invalid
11.939201184136914,114380.74674106718,9580.26797412877,763850216.8326274,763843838.6963274,1987.123352842423,1662398.1038774597,two_body_invalid
11.939246654044666,103572.36409155339,8674.949692614493,691670364.3166193,691663986.1803193,1799.3505835499982,1432428.7646849928,two_body_invalid
11.939296869093532,93785.33464714064,7855.18072592001,626311247.7147176,626304869.5784177,1629.3216641902125,1234273.2490301828,two_body_invalid
11.939352324476166,84923.14420798552,7112.876971884778,567128332.0454829,567121953.9091829,1475.3598648425673,1063530.412057111,two_body_invalid
11.939413567062456,76898.39881878313,6440.71824690993,513537988.56359273,513531610.4272927,1335.9469005296378,916407.9680299007,two_body_invalid
11.93948120079244,69631.96294430451,5832.076098891378,465011739.37861484,465005361.2423148,1209.7079588413496,789638.2601126207,two_body_invalid
11.939555892632036,63052.179066853394,5280.948440114363,421071045.82045376,421064667.68415374,1095.3981420927516,680405.6823604496,two_body_invalid
11.939638379150281,57094.16104757607,4781.900358663906,381282589.40986377,381276211.27356374,991.8901909725904,586284.1425799279,two_body_invalid
11.939729473782961,51699.15425729819,4330.010522501221,345253998.7249626,345247620.58866256,898.1633681710786,505183.1765508856,two_body_invalid
11.93983007485426,46813.95615942884,3920.822647050968,312629979.97489035,312623601.8385903,813.2933922343661,435301.51668469806,two_body_invalid
11.939941174435527,42390.391672590646,3550.301551179518,283088813.3999453,283082435.2636453,736.4433231007943,375087.08445005346,two_body_invalid
11.940063868128528,38384.83808669441,3214.793363807258,256339180.5963765,256332802.4600765,666.855308523352,323202.51715565345,two_body_invalid
11.94019936586966,34757.794873995976,2910.989490958504,232117291.65598646,232110913.51968646,603.8431104474154,278495.4638415354,two_body_invalid
11.940349003861662,31473.49417141909,2635.8939894671553,210184283.91399226,210177905.77769226,546.7853379656407,239972.990720211,two_body_invalid
11.940514257750495,28499.548046150037,2386.794021677182,190323866.34058863,190317488.20428863,495.1193193043409,206779.52709182655,two_body_invalid
11.94069675717734,25806.629109224126,2161.233103395932,172340186.63494632,172333808.49864632,448.33555316063035,178177.86244398198,two_body_invalid
11.940898301849204,23368.1813046458,1956.9868793729643,156055899.83553648,156049521.69923648,405.9726842755892,153532.77237047523,two_body_invalid
