R,regime,dv_hohmann_bar,dv_bielliptic_infinite_bar,dv_best_bar,best_endpoint,saving_bar,saving_m_s,best_endpoint_attainable
2.34858670077661,hohmann_only,0.33260399611582925,0.684497984628183,0.33260399611582925,B->R+,0.0,0.0,yes
2.366673135968353,hohmann_only,0.33474150596831637,0.6834632289030051,0.33474150596831637,B->R+,0.0,0.0,yes
2.3848988545588474,hohmann_only,0.33686453417417167,0.6824324346322161,0.33686453417417167,B->R+,0.0,0.0,yes
2.403264929167708,hohmann_only,0.3389731135479731,0.681405586649801,0.3389731135479731,B->R+,0.0,0.0,yes
2.4217724406747814,hohmann_only,0.34106727735588305,0.6803826698478062,0.34106727735588305,B->R+,0.0,0.0,yes
2.4404224782837534,hohmann_only,0.34314705931128575,0.6793636691761172,0.34314705931128575,B->R+,0.0,0.0,yes
2.4592161395862537,hohmann_only,0.3452124935703833,0.678348569642238,0.3452124935703833,B->R+,0.0,0.0,yes
2.478154530626452,hohmann_only,0.347263614727751,0.6773373563110692,0.347263614727751,B->R+,0.0,0.0,yes
2.4972387659661477,hohmann_only,0.3493004578118522,0.6763300143046885,0.3493004578118522,B->R+,0.0,0.0,yes
2.5164699687503673,hohmann_only,0.35132305828051663,0.6753265288021332,0.35132305828051663,B->R+,0.0,0.0,yes
2.5358492707734617,hohmann_only,0.35333145201637967,0.6743268850391803,0.35333145201637967,B->R+,0.0,0.0,yes
2.5553778125457147,hohmann_only,0.3553256753222875,0.6733310683081303,0.3553256753222875,B->R+,0.0,0.0,yes
2.5750567433604656,hohmann_only,0.3573057649166669,0.6723390639575908,0.3573057649166669,B->R+,0.0,0.0,yes
2.594887221361746,hohmann_only,0.35927175792886235,0.6713508573922606,0.35927175792886235,B->R+,0.0,0.0,yes
2.61487041361244,hohmann_only,0.36122369189444054,0.6703664340727149,0.36122369189444054,B->R+,0.0,0.0,yes
2.6350074961629675,hohmann_only,0.36316160475046455,0.6693857795151918,0.36316160475046455,B->R+,0.0,0.0,yes
2.655299654120496,hohmann_only,0.3650855348307388,0.6684088792913789,0.3650855348307388,B->R+,0.0,0.0,yes
2.6757480817186887,hohmann_only,0.36699552086102494,0.6674357190282012,0.36699552086102494,B->R+,0.0,0.0,yes
2.6963539823879867,hohmann_only,0.3688916019542313,0.6664662844076094,0.3688916019542313,B->R+,0.0,0.0,yes
2.7171185688264323,hohmann_only,0.3707738176055768,0.665500561166369,0.3707738176055768,B->R+,0.0,0.0,yes
2.7380430630710397,hohmann_only,0.3726422076877292,0.6645385350958517,0.3726422076877292,B->R+,0.0,0.0,yes
2.7591286965697144,hohmann_only,0.3744968124459215,0.6635801920418247,0.3744968124459215,B->R+,0.0,0.0,yes
2.7803767102537256,hohmann_only,0.37633767249304473,0.6626255179042434,0.37633767249304473,B->R+,0.0,0.0,yes
2.8017883546107374,hohmann_only,0.3781648288047207,0.6616744986370438,0.3781648288047207,B->R+,0.0,0.0,yes
2.8233648897584036,hohmann_only,0.3799783227143547,0.6607271202479358,0.3799783227143547,B->R+,0.0,0.0,yes
2.845107585518528,hohmann_only,0.3817781959081702,0.6597833687981973,0.3817781959081702,B->R+,0.0,0.0,yes
2.867017721491793,hohmann_only,0.38356449042022445,0.6588432304024692,0.38356449042022445,B->R+,0.0,0.0,yes
2.8890965871330723,hohmann_only,0.3853372486274105,0.6579066912285509,0.3853372486274105,B->R+,0.0,0.0,yes
2.9113454818273117,hohmann_only,0.3870965132444415,0.6569737374971971,0.3870965132444415,B->R+,0.0,0.0,yes
2.9337657149660044,hohmann_only,0.3888423273188232,0.6560443554819148,0.3888423273188232,B->R+,0.0,0.0,yes
2.95635860602425,hohmann_only,0.39057473422581257,0.6551185315087614,0.39057473422581257,B->R+,0.0,0.0,yes
2.97912548463841,hohmann_only,0.39229377766336526,0.6541962519561438,0.39229377766336526,B->R+,0.0,0.0,yes
3.0020676906843553,hohmann_only,0.39399950164707176,0.6532775032546175,0.39399950164707176,B->R+,0.0,0.0,yes
3.025186574356325,hohmann_only,0.3956919505050862,0.6523622718866873,0.3956919505050862,B->R+,0.0,0.0,yes
3.048483496246386,hohmann_only,0.39737116887304413,0.6514505443866083,0.39737116887304413,B->R+,0.0,0.0,yes
3.0719598274245055,hohmann_only,0.3990372016889757,0.6505423073401879,0.3990372016889757,B->R+,0.0,0.0,yes
3.0956169495192443,hohmann_only,0.40069009418821094,0.6496375473845882,0.40069009418821094,B->R+,0.0,0.0,yes
3.119456254799066,hohmann_only,0.4023298918982815,0.6487362512081295,0.4023298918982815,B->R+,0.0,0.0,yes
3.143479146254274,hohmann_only,0.4039566406338171,0.6478384055500948,0.4039566406338171,B->R+,0.0,0.0,yes
3.1676870376795825,hohmann_only,0.4055703864914397,0.646943997200534,0.4055703864914397,B->R+,0.0,0.0,yes
3.1920813537573216,hohmann_only,0.40717117584465723,0.6460530130000698,0.40717117584465723,B->R+,0.0,0.0,yes
3.216663530141277,hohmann_only,0.40875905533875356,0.645165439839705,0.40875905533875356,B->R+,0.0,0.0,yes
3.2414350135411905,hohmann_only,0.41033407188568116,0.6442812646606277,0.41033407188568116,B->R+,0.0,0.0,yes
3.2663972618078927,hohmann_only,0.41189627265895457,0.6434004744540214,0.41189627265895457,B->R+,0.0,0.0,yes
3.2915517440191056,hohmann_only,0.41344570508854483,0.6425230562608717,0.41344570508854483,B->R+,0.0,0.0,yes
3.3168999405658997,hohmann_only,0.4149824168557791,0.6416489971717767,0.4149824168557791,B->R+,0.0,0.0,yes
3.3424433432398164,hohmann_only,0.4165064558882428,0.6407782843267569,0.4165064558882428,B->R+,0.0,0.0,yes
3.3681834553206658,hohmann_only,0.4180178703546875,0.6399109049150657,0.4180178703546875,B->R+,0.0,0.0,yes
3.3941217916649933,hohmann_only,0.4195167086599451,0.6390468461750014,0.4195167086599451,B->R+,0.0,0.0,yes
3.4202598787952385,hohmann_only,0.4210030194398493,0.6381860953937188,0.4210030194398493,B->R+,0.0,0.0,yes
3.446599254989566,hohmann_only,0.4224768515561639,0.6373286399070428,0.4224768515561639,B->R+,0.0,0.0,yes
3.4731414703724037,hohmann_only,0.4239382540915212,0.6364744670992815,0.4239382540915212,B->R+,0.0,0.0,yes
3.4998880870056643,hohmann_only,0.42538727634436924,0.635623564403041,0.42538727634436924,B->R+,0.0,0.0,yes
3.5268406789806805,hohmann_only,0.4268239678239304,0.6347759192990405,0.4268239678239304,B->R+,0.0,0.0,yes
3.5540008325108428,hohmann_only,0.4282483782451713,0.6339315193159277,0.4282483782451713,B->R+,0.0,0.0,yes
3.581370146024946,hohmann_only,0.4296605575237842,0.6330903520300958,0.4296605575237842,B->R+,0.0,0.0,yes
3.608950230261269,hohmann_only,0.4310605557711831,0.6322524050655001,0.4310605557711831,B->R+,0.0,0.0,yes
3.63674270836236,hohmann_only,0.43244842328951266,0.6314176660934767,0.43244842328951266,B->R+,0.0,0.0,yes
3.6647492159705704,hohmann_only,0.4338242105666724,0.6305861228325608,0.4338242105666724,B->R+,0.0,0.0,yes
